[INFO  2016-07-02 13:55:30,259 com.nanhai.comparator.Test:41] 的
[INFO  2016-07-02 13:55:30,259 com.nanhai.comparator.Test:41] 中
[INFO  2016-07-02 13:55:30,259 com.nanhai.comparator.Test:41] 原
[INFO  2016-07-02 13:55:30,259 com.nanhai.comparator.Test:41] 地
[INFO  2016-07-02 13:55:30,259 com.nanhai.comparator.Test:41] 区
[INFO  2016-07-02 13:55:30,259 com.nanhai.comparator.Test:41] ，
[INFO  2016-07-02 13:55:30,259 com.nanhai.comparator.Test:41] 现
[INFO  2016-07-02 13:55:30,259 com.nanhai.comparator.Test:41] 今
[INFO  2016-07-02 13:55:30,259 com.nanhai.comparator.Test:41] 在
[INFO  2016-07-02 13:55:30,259 com.nanhai.comparator.Test:41] 习
[INFO  2016-07-02 13:55:30,259 com.nanhai.comparator.Test:41] 惯
[INFO  2016-07-02 13:55:30,259 com.nanhai.comparator.Test:41] 上
[INFO  2016-07-02 13:55:30,259 com.nanhai.comparator.Test:41] 多
[INFO  2016-07-02 13:55:30,260 com.nanhai.comparator.Test:41] 指
[INFO  2016-07-02 13:55:30,260 com.nanhai.comparator.Test:41] 中
[INFO  2016-07-02 13:55:30,260 com.nanhai.comparator.Test:41] 华
[INFO  2016-07-02 13:55:30,260 com.nanhai.comparator.Test:41] 人
[INFO  2016-07-02 13:55:30,260 com.nanhai.comparator.Test:41] 民
[INFO  2016-07-02 13:55:30,260 com.nanhai.comparator.Test:41] 共
[INFO  2016-07-02 13:55:30,260 com.nanhai.comparator.Test:41] 和
[INFO  2016-07-02 13:55:30,260 com.nanhai.comparator.Test:41] 国
[INFO  2016-07-02 13:55:30,260 com.nanhai.comparator.Test:41] 政
[INFO  2016-07-02 13:55:30,260 com.nanhai.comparator.Test:41] 权
[INFO  2016-07-02 13:55:30,260 com.nanhai.comparator.Test:38] 中国一词，最早见于西周，
[INFO  2016-07-02 13:55:30,260 com.nanhai.comparator.Test:41] 中
[INFO  2016-07-02 13:55:30,260 com.nanhai.comparator.Test:41] 国
[INFO  2016-07-02 13:55:30,260 com.nanhai.comparator.Test:41] 一
[INFO  2016-07-02 13:55:30,260 com.nanhai.comparator.Test:41] 词
[INFO  2016-07-02 13:55:30,260 com.nanhai.comparator.Test:41] ，
[INFO  2016-07-02 13:55:30,261 com.nanhai.comparator.Test:41] 最
[INFO  2016-07-02 13:55:30,261 com.nanhai.comparator.Test:41] 早
[INFO  2016-07-02 13:55:30,261 com.nanhai.comparator.Test:41] 见
[INFO  2016-07-02 13:55:30,261 com.nanhai.comparator.Test:41] 于
[INFO  2016-07-02 13:55:30,261 com.nanhai.comparator.Test:41] 西
[INFO  2016-07-02 13:55:30,261 com.nanhai.comparator.Test:41] 周
[INFO  2016-07-02 13:55:30,261 com.nanhai.comparator.Test:41] ，
[INFO  2016-07-02 13:55:30,261 com.nanhai.comparator.Test:38] 是指以洛阳盆地为中心的中原地区，现今在习惯上多指中华人民共和国政权
[INFO  2016-07-02 13:55:30,261 com.nanhai.comparator.Test:41] 是
[INFO  2016-07-02 13:55:30,261 com.nanhai.comparator.Test:41] 指
[INFO  2016-07-02 13:55:30,261 com.nanhai.comparator.Test:41] 以
